run_id,seed,best_cost,runtime,iterations_completed,stagnation_counter,tour
1,43,453.0,0.49503159523010254,43,20,11 46 3 17 13 24 12 40 18 39 41 43 14 44 32 38 9 48 8 29 33 49 15 20 28 1 10 31 0 21 2 19 34 35 27 30 25 7 6 42 23 22 47 5 26 45 50 37 4 36 16
2,44,438.0,0.7405123710632324,62,20,2 27 30 7 25 21 0 31 10 37 4 36 16 3 17 46 11 45 50 26 47 5 22 6 42 23 13 24 12 40 18 39 41 43 14 44 32 38 9 48 8 29 33 49 15 1 28 20 19 34 35
3,45,438.0,0.45322299003601074,41,20,9 38 32 44 14 43 41 39 18 40 12 24 13 5 23 42 6 22 47 26 50 45 11 46 17 3 16 36 4 37 10 1 31 0 21 7 25 30 27 2 35 34 19 28 20 33 49 15 8 48 29
4,46,432.0,0.650921106338501,57,20,46 11 45 50 26 5 23 42 6 22 47 7 25 30 27 2 35 34 19 28 20 33 29 8 49 15 1 21 0 31 10 37 4 48 9 38 32 44 14 36 16 43 41 18 40 39 12 24 13 17 3
5,47,432.0,0.7770943641662598,67,20,29 33 20 28 19 34 35 2 27 30 25 7 47 26 5 22 6 42 23 13 24 12 40 18 39 41 43 14 44 32 38 9 48 37 4 36 16 3 17 46 11 45 50 10 31 0 21 1 15 49 8
,,,,,,
SUMMARY,,Best: 432.0000,Mean: 0.62s,,,
,,Mean: 438.6000,Total: 3.12s,,,
,,Std: 8.5907,,,,
