run_id,seed,best_cost,runtime,iterations_completed,stagnation_counter,tour
1,43,7658.0,0.47012877464294434,87,20,28 15 45 43 33 34 35 38 39 36 37 47 23 4 14 5 3 24 11 27 26 25 46 13 12 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 41 6 1 29 20 22 19 49
2,44,7789.0,0.27826976776123047,56,20,21 0 48 31 44 18 40 7 8 9 42 32 50 10 51 13 12 26 25 46 27 11 24 3 5 14 4 23 47 37 36 39 38 35 34 33 43 45 15 19 49 28 29 22 20 41 1 6 16 2 17 30
3,45,8154.0,0.41840386390686035,84,20,18 40 7 8 9 42 32 3 5 14 4 23 47 37 39 36 38 35 34 33 43 45 24 11 50 10 51 13 12 26 27 25 46 28 15 49 19 22 20 30 17 2 16 41 1 6 29 21 0 48 31 44
4,46,8083.0,0.28249073028564453,55,20,48 31 44 18 40 7 9 8 42 32 50 10 12 51 13 46 25 26 27 11 24 3 5 14 4 23 47 37 36 39 38 35 34 33 43 45 15 28 49 19 22 20 30 17 2 16 6 1 41 29 0 21
5,47,8013.0,0.3493309020996094,69,20,9 8 7 40 18 44 31 48 0 21 30 17 2 16 6 1 41 20 29 22 19 49 15 45 24 3 5 14 4 23 47 37 39 36 38 35 34 33 43 28 46 25 27 26 12 13 51 10 50 11 32 42
,,,,,,
SUMMARY,,Best: 7658.0000,Mean: 0.36s,,,
,,Mean: 7939.4000,Total: 1.80s,,,
,,Std: 208.5049,,,,
