run_id,seed,best_cost,runtime,iterations_completed,stagnation_counter,tour
1,43,14556.0,12.70717740058899,103,20,1 0 2 11 18 23 26 25 24 17 15 16 7 8 4 3 12 13 33 34 37 38 59 60 64 65 86 87 93 94 99 98 97 89 88 92 101 100 96 95 91 90 84 83 82 81 77 70 67 66 71 76 78 85 79 75 72 80 74 73 68 69 62 61 63 104 58 55 54 49 47 44 48 39 103 43 46 50 53 56 57 52 51 45 42 40 41 36 35 32 31 30 29 27 22 19 102 28 21 20 14 10 9 6 5
2,44,14762.0,12.534911155700684,102,20,38 37 34 33 13 12 3 4 8 7 16 15 17 24 25 26 23 18 27 22 19 11 2 0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 35 36 103 39 48 44 47 49 54 55 58 104 56 53 50 46 43 40 41 42 45 51 52 57 62 61 63 72 75 79 80 74 73 68 69 89 88 85 83 78 76 71 66 67 70 77 81 82 84 90 91 95 96 100 101 92 97 98 99 94 93 87 86 65 64 60 59
3,45,14608.0,12.485519409179688,100,20,30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 36 35 103 39 48 44 47 49 54 55 58 104 56 53 50 46 43 40 41 42 45 51 52 57 62 61 63 66 67 70 77 81 82 84 83 78 76 71 79 75 72 68 69 73 74 80 89 88 85 90 91 95 96 100 101 92 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 4 3 8 7 2 0 1 5 6 9 10 14 102 20 21 28 29
4,46,14524.0,12.95686674118042,106,20,86 87 93 94 99 98 97 89 88 92 101 100 96 95 91 90 84 85 78 76 71 83 82 81 77 70 67 66 63 72 75 79 80 74 73 68 69 62 61 104 58 55 54 49 47 44 48 39 103 43 46 50 53 56 57 52 51 45 42 40 41 36 35 25 24 17 15 16 26 23 18 11 19 22 27 32 31 30 29 28 21 20 102 14 10 9 6 5 1 0 2 7 8 4 3 12 13 33 34 37 38 59 60 64 65
5,47,14809.0,16.92339038848877,140,20,3 4 8 7 2 0 1 5 6 9 10 14 102 20 21 28 31 30 29 27 22 19 11 15 16 17 24 25 18 23 26 32 35 36 103 39 48 44 47 49 54 55 58 104 56 53 50 46 43 40 41 42 45 51 52 57 61 62 69 68 73 74 80 79 75 72 63 66 67 70 77 81 82 84 83 71 76 78 85 88 89 92 90 91 95 96 100 101 97 98 99 93 94 87 86 65 64 60 59 38 37 34 33 13 12
,,,,,,
SUMMARY,,Best: 14524.0000,Mean: 13.52s,,,
,,Mean: 14651.8000,Total: 67.61s,,,
,,Std: 126.7722,,,,
