run_id,seed,best_cost,runtime,iterations_completed,stagnation_counter,tour
1,43,22047.0,10.740699768066406,135,20,13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 83 9 89 48 5 62 74 18 52 78 17 23 37 35 98 93 87 15 21 69 25 65 64 3 96 55 79 30 88 41 7 91 0 46 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 81 94 12 75 32 36 4 51 77 95 38 29 47 70 40 99
2,44,21703.0,11.886542558670044,148,20,9 83 35 98 37 23 17 93 21 15 87 78 52 69 65 64 25 3 18 74 96 55 79 30 88 41 7 91 0 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 29 38 81 94 12 75 32 36 4 51 77 95 47 99 70 40 13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 46 62 5 48 89
3,45,21450.0,13.498499155044556,174,20,91 7 41 88 30 79 55 96 3 64 65 25 69 21 93 15 87 52 78 17 23 37 98 35 83 9 71 20 73 58 16 14 10 31 44 90 97 22 76 59 61 34 85 26 11 19 56 8 6 54 82 33 28 45 42 2 13 70 40 99 47 29 38 95 77 51 4 36 12 32 75 94 81 84 67 72 49 43 1 53 39 63 68 80 24 86 50 60 57 66 27 92 46 0 62 5 48 89 18 74
4,46,22526.0,8.65071964263916,110,20,32 12 36 4 95 77 51 47 99 70 40 13 2 42 45 28 29 38 84 67 72 68 80 24 60 50 86 56 6 8 33 82 54 11 19 26 85 34 61 59 76 22 97 90 44 31 14 16 10 58 73 20 71 83 9 89 48 5 62 74 18 52 78 17 23 37 35 98 93 87 15 21 69 25 65 64 3 96 55 79 30 88 41 7 91 0 46 27 92 57 66 63 39 53 1 43 49 81 94 75
5,47,21550.0,15.561336755752563,200,20,32 75 12 94 81 49 43 1 53 39 63 68 72 67 84 8 6 56 86 50 24 80 60 57 66 27 92 46 0 62 5 48 89 91 7 41 88 30 79 55 96 74 18 3 64 25 65 69 93 21 15 87 52 78 17 23 37 98 35 83 9 71 20 73 58 16 14 10 31 44 90 97 22 76 59 61 34 85 26 19 11 54 82 33 28 45 42 2 13 70 40 99 47 29 38 95 77 51 4 36
,,,,,,
SUMMARY,,Best: 21450.0000,Mean: 12.07s,,,
,,Mean: 21855.2000,Total: 60.34s,,,
,,Std: 437.9666,,,,
